gene_id	coding_length	SYMBOL	DESCRIPTION	Var
ENSMUSG00000030647	754	Ndufc2	NADH:ubiquinone oxidoreductase subunit C2 [Source:MGI Symbol;Acc:MGI:1344370]	12781.1014492754
ENSMUSG00000030649	5161	Anapc15	anaphase prompoting complex C subunit 15 [Source:MGI Symbol;Acc:MGI:1922680]	11668.6358695652
ENSMUSG00000030650	4470	Tmc5	transmembrane channel-like gene family 5 [Source:MGI Symbol;Acc:MGI:1921674]	25.9927536231884
ENSMUSG00000030652	6434	Coq7	demethyl-Q 7 [Source:MGI Symbol;Acc:MGI:107207]	11800.3188405797
ENSMUSG00000030654	2482	Arl6ip1	ADP-ribosylation factor-like 6 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1858943]	422471.606884058
ENSMUSG00000030655	23984	Smg1	SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) [Source:MGI Symbol;Acc:MGI:1919742]	1882661.64492754
ENSMUSG00000030657	9651	Xylt1	xylosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2451073]	656107.81884058
ENSMUSG00000030659	2331	Nucb2	nucleobindin 2 [Source:MGI Symbol;Acc:MGI:1858179]	52473.5054347826
ENSMUSG00000030660	11133	Pik3c2a	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:MGI Symbol;Acc:MGI:1203729]	97227.9836956522
ENSMUSG00000030662	6001	Ipo5	importin 5 [Source:MGI Symbol;Acc:MGI:1917822]	2226353.1884058
ENSMUSG00000030663	2490	1110004F10Rik	RIKEN cDNA 1110004F10 gene [Source:MGI Symbol;Acc:MGI:1929274]	415743.867753623
ENSMUSG00000030666	1264	Calcb	calcitonin-related polypeptide, beta [Source:MGI Symbol;Acc:MGI:2151254]	89.1014492753623
ENSMUSG00000030669	1684	Calca	calcitonin/calcitonin-related polypeptide, alpha [Source:MGI Symbol;Acc:MGI:2151253]	388.244565217391
ENSMUSG00000030670	2115	Cyp2r1	cytochrome P450, family 2, subfamily r, polypeptide 1 [Source:MGI Symbol;Acc:MGI:2449771]	239.557971014493
ENSMUSG00000030671	9114	Pde3b	phosphodiesterase 3B, cGMP-inhibited [Source:MGI Symbol;Acc:MGI:1333863]	207106
ENSMUSG00000030672	1062	Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle [Source:MGI Symbol;Acc:MGI:97273]	27.9347826086957
ENSMUSG00000030674	2645	Qprt	quinolinate phosphoribosyltransferase [Source:MGI Symbol;Acc:MGI:1914625]	297.998188405797
ENSMUSG00000030677	4903	Kif22	kinesin family member 22 [Source:MGI Symbol;Acc:MGI:109233]	8304.60144927536
ENSMUSG00000030678	2976	Maz	MYC-associated zinc finger protein (purine-binding transcription factor) [Source:MGI Symbol;Acc:MGI:1338823]	85170.5144927536
ENSMUSG00000030681	7627	Mvp	major vault protein [Source:MGI Symbol;Acc:MGI:1925638]	3834128.12862319
ENSMUSG00000030682	2592	Cdipt	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase) [Source:MGI Symbol;Acc:MGI:105491]	86087.3894927536
ENSMUSG00000030683	4210	Sez6l2	seizure related 6 homolog like 2 [Source:MGI Symbol;Acc:MGI:2385295]	4130.89130434783
ENSMUSG00000030685	2487	Kctd13	potassium channel tetramerisation domain containing 13 [Source:MGI Symbol;Acc:MGI:1923739]	2635.1231884058
ENSMUSG00000030688	2419	Stard10	START domain containing 10 [Source:MGI Symbol;Acc:MGI:1860093]	237775.847826087
ENSMUSG00000030689	7644	Ino80e	INO80 complex subunit E [Source:MGI Symbol;Acc:MGI:2141881]	21486.5797101449
ENSMUSG00000030691	16627	Fchsd2	FCH and double SH3 domains 2 [Source:MGI Symbol;Acc:MGI:2448475]	58422.1721014493
ENSMUSG00000030695	2911	Aldoa	aldolase A, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:87994]	6229821.93478261
ENSMUSG00000030697	4281	Ppp4c	protein phosphatase 4, catalytic subunit [Source:MGI Symbol;Acc:MGI:1891763]	36534.4764492754
ENSMUSG00000030699	1804	Tbx6	T-box 6 [Source:MGI Symbol;Acc:MGI:102539]	47.7807971014493
ENSMUSG00000030701	3713	Plekhb1	pleckstrin homology domain containing, family B (evectins) member 1 [Source:MGI Symbol;Acc:MGI:1351469]	520763.302536232
ENSMUSG00000030703	2186	Gdpd3	glycerophosphodiester phosphodiesterase domain containing 3 [Source:MGI Symbol;Acc:MGI:1915866]	417.244565217391
ENSMUSG00000030704	3728	Rab6a	RAB6A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:894313]	677735.971014493
ENSMUSG00000030706	8152	Mrpl48	mitochondrial ribosomal protein L48 [Source:MGI Symbol;Acc:MGI:1289321]	13702.6956521739
ENSMUSG00000030707	2783	Coro1a	coronin, actin binding protein 1A [Source:MGI Symbol;Acc:MGI:1345961]	9768.78079710145
ENSMUSG00000030711	1507	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1 [Source:MGI Symbol;Acc:MGI:102896]	3264.84057971014
ENSMUSG00000030714	1802	Sgf29	SAGA complex associated factor 29 [Source:MGI Symbol;Acc:MGI:1922815]	2923.30434782609
ENSMUSG00000030717	2514	Nupr1	nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]	258200742.492754
ENSMUSG00000030718	3100	Ppme1	protein phosphatase methylesterase 1 [Source:MGI Symbol;Acc:MGI:1919840]	176564.606884058
ENSMUSG00000030720	5781	Cln3	ceroid lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease) [Source:MGI Symbol;Acc:MGI:107537]	7954.65036231884
ENSMUSG00000030722	3388	Nfatc2ip	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 interacting protein [Source:MGI Symbol;Acc:MGI:1329015]	1766.78079710145
ENSMUSG00000030725	1663	Lipt2	lipoyl(octanoyl) transferase 2 (putative) [Source:MGI Symbol;Acc:MGI:1914414]	654.157608695652
ENSMUSG00000030726	4601	Pold3	polymerase (DNA-directed), delta 3, accessory subunit [Source:MGI Symbol;Acc:MGI:1915217]	25288.231884058
ENSMUSG00000030727	5322	Rabep2	rabaptin, RAB GTPase binding effector protein 2 [Source:MGI Symbol;Acc:MGI:1917564]	20221.0362318841
ENSMUSG00000030729	9583	Pgm2l1	phosphoglucomutase 2-like 1 [Source:MGI Symbol;Acc:MGI:1918224]	19259.4764492754
ENSMUSG00000030731	3118	Syt3	synaptotagmin III [Source:MGI Symbol;Acc:MGI:99665]	1251.69384057971
ENSMUSG00000030733	3932	Sh2b1	SH2B adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1201407]	72600.027173913
ENSMUSG00000030735	1356	Gm9755	predicted pseudogene 9755 [Source:MGI Symbol;Acc:MGI:3642279]	342.998188405797
ENSMUSG00000030737	5958	Slco2b1	solute carrier organic anion transporter family, member 2b1 [Source:MGI Symbol;Acc:MGI:1351872]	633.69384057971
ENSMUSG00000030738	3511	Eif3c	eukaryotic translation initiation factor 3, subunit C [Source:MGI Symbol;Acc:MGI:1926966]	8768456.25362319
ENSMUSG00000030739	7273	Myh14	myosin, heavy polypeptide 14 [Source:MGI Symbol;Acc:MGI:1919210]	544674.650362319
ENSMUSG00000030741	3707	Spns1	spinster homolog 1 [Source:MGI Symbol;Acc:MGI:1920908]	11553.3623188406
ENSMUSG00000030744	4483	Rps3	ribosomal protein S3 [Source:MGI Symbol;Acc:MGI:1350917]	1304063.25905797
ENSMUSG00000030745	3324	Il21r	interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475]	145.824275362319
ENSMUSG00000030747	3083	Dgat2	diacylglycerol O-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:1915050]	248.259057971014
ENSMUSG00000030748	6002	Il4ra	interleukin 4 receptor, alpha [Source:MGI Symbol;Acc:MGI:105367]	272452.505434783
ENSMUSG00000030750	1329	Nsmce1	NSE1 homolog, SMC5-SMC6 complex component [Source:MGI Symbol;Acc:MGI:1914961]	10511.606884058
ENSMUSG00000030751	2952	Psma1	proteasome (prosome, macropain) subunit, alpha type 1 [Source:MGI Symbol;Acc:MGI:1347005]	97385.259057971
ENSMUSG00000030752	2389	Kdm8	lysine (K)-specific demethylase 8 [Source:MGI Symbol;Acc:MGI:1924285]	553.384057971014
ENSMUSG00000030753	4125	Thap12	THAP domain containing 12 [Source:MGI Symbol;Acc:MGI:1920231]	130653.911231884
ENSMUSG00000030754	5582	Copb1	coatomer protein complex, subunit beta 1 [Source:MGI Symbol;Acc:MGI:1917599]	244851.505434783
ENSMUSG00000030757	8984	Zkscan2	zinc finger with KRAB and SCAN domains 2 [Source:MGI Symbol;Acc:MGI:2444060]	7879.69384057971
ENSMUSG00000030759	8055	Far1	fatty acyl CoA reductase 1 [Source:MGI Symbol;Acc:MGI:1914670]	136923.085144928
ENSMUSG00000030760	15324	Acer3	alkaline ceramidase 3 [Source:MGI Symbol;Acc:MGI:1913440]	7411.43297101449
ENSMUSG00000030761	8874	Myo7a	myosin VIIA [Source:MGI Symbol;Acc:MGI:104510]	423659.81884058
ENSMUSG00000030763	3244	Lcmt1	leucine carboxyl methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1353593]	4306.51449275362
ENSMUSG00000030766	9759	Arhgap17	Rho GTPase activating protein 17 [Source:MGI Symbol;Acc:MGI:1917747]	149686.949275362
ENSMUSG00000030768	5224	Disp1	dispatched RND transporter family member 1 [Source:MGI Symbol;Acc:MGI:1916147]	19282.7753623188
ENSMUSG00000030770	10157	Parva	parvin, alpha [Source:MGI Symbol;Acc:MGI:1931144]	1850257.88405797
ENSMUSG00000030772	3359	Dkk3	dickkopf WNT signaling pathway inhibitor 3 [Source:MGI Symbol;Acc:MGI:1354952]	307456737.992754
ENSMUSG00000030774	3943	Pak1	p21 (RAC1) activated kinase 1 [Source:MGI Symbol;Acc:MGI:1339975]	66827.5579710145
ENSMUSG00000030779	12915	Rbbp6	retinoblastoma binding protein 6, ubiquitin ligase [Source:MGI Symbol;Acc:MGI:894835]	1377121.98369565
ENSMUSG00000030780	5526	BC017158	cDNA sequence BC017158 [Source:MGI Symbol;Acc:MGI:2384572]	10097.4329710145
ENSMUSG00000030782	5585	Tgfb1i1	transforming growth factor beta 1 induced transcript 1 [Source:MGI Symbol;Acc:MGI:102784]	121803.722826087
ENSMUSG00000030786	5024	Itgam	integrin alpha M [Source:MGI Symbol;Acc:MGI:96607]	32066.9275362319
ENSMUSG00000030787	2919	Lyve1	lymphatic vessel endothelial hyaluronan receptor 1 [Source:MGI Symbol;Acc:MGI:2136348]	500.432971014493
ENSMUSG00000030788	10275	Rnf141	ring finger protein 141 [Source:MGI Symbol;Acc:MGI:1914400]	51323.2753623188
ENSMUSG00000030789	4803	Itgax	integrin alpha X [Source:MGI Symbol;Acc:MGI:96609]	10572.3405797101
ENSMUSG00000030790	1619	Adm	adrenomedullin [Source:MGI Symbol;Acc:MGI:108058]	54267.7391304348
ENSMUSG00000030793	3800	Pycard	PYD and CARD domain containing [Source:MGI Symbol;Acc:MGI:1931465]	734.666666666667
ENSMUSG00000030795	11695	Fus	fused in sarcoma [Source:MGI Symbol;Acc:MGI:1353633]	616707.418478261
ENSMUSG00000030796	4788	Tead2	TEA domain family member 2 [Source:MGI Symbol;Acc:MGI:104904]	22314.0416666667
ENSMUSG00000030798	3522	Cd37	CD37 antigen [Source:MGI Symbol;Acc:MGI:88330]	622.432971014493
ENSMUSG00000030800	1852	Prss8	protease, serine 8 (prostasin) [Source:MGI Symbol;Acc:MGI:1923810]	209.853260869565
ENSMUSG00000030801	2891	Kat8	K(lysine) acetyltransferase 8 [Source:MGI Symbol;Acc:MGI:1915023]	7138.9981884058
ENSMUSG00000030802	3695	Bckdk	branched chain ketoacid dehydrogenase kinase [Source:MGI Symbol;Acc:MGI:1276121]	42538.6793478261
ENSMUSG00000030805	2364	Stx4a	syntaxin 4A (placental) [Source:MGI Symbol;Acc:MGI:893577]	77011.5199275362
ENSMUSG00000030806	4802	Stx1b	syntaxin 1B [Source:MGI Symbol;Acc:MGI:1930705]	33026.7373188406
ENSMUSG00000030811	4542	Fbxl19	F-box and leucine-rich repeat protein 19 [Source:MGI Symbol;Acc:MGI:3039600]	14150.4329710145
ENSMUSG00000030814	7222	Bcl7c	B cell CLL/lymphoma 7C [Source:MGI Symbol;Acc:MGI:1332237]	18680.7753623188
ENSMUSG00000030815	4000	Phkg2	phosphorylase kinase, gamma 2 (testis) [Source:MGI Symbol;Acc:MGI:1916211]	5242.9981884058
ENSMUSG00000030816	5621	Rnf40	ring finger protein 40 [Source:MGI Symbol;Acc:MGI:2142048]	193498.679347826
ENSMUSG00000030822	4455	Prr14	proline rich 14 [Source:MGI Symbol;Acc:MGI:2384565]	16363.6938405797
ENSMUSG00000030823	3878	9130019O22Rik	RIKEN cDNA 9130019O22 gene [Source:MGI Symbol;Acc:MGI:1926171]	2811.44927536232
ENSMUSG00000030824	8212	Nucb1	nucleobindin 1 [Source:MGI Symbol;Acc:MGI:97388]	529554.282608696
ENSMUSG00000030826	3900	Bcat2	branched chain aminotransferase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1276534]	5324.36956521739
ENSMUSG00000030827	951	Fgf21	fibroblast growth factor 21 [Source:MGI Symbol;Acc:MGI:1861377]	159.998188405797
ENSMUSG00000030830	6569	Itgal	integrin alpha L [Source:MGI Symbol;Acc:MGI:96606]	2415.82427536232
ENSMUSG00000030834	5721	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6 [Source:MGI Symbol;Acc:MGI:1351634]	442.128623188406
ENSMUSG00000030835	5936	Nomo1	nodal modulator 1 [Source:MGI Symbol;Acc:MGI:2385850]	627555.413043478
ENSMUSG00000030838	3958	Ush1c	USH1 protein network component harmonin [Source:MGI Symbol;Acc:MGI:1919338]	382.389492753623
ENSMUSG00000030839	3476	Sergef	secretion regulating guanine nucleotide exchange factor [Source:MGI Symbol;Acc:MGI:1351630]	1637.69384057971
ENSMUSG00000030842	3215	Lamtor1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:MGI Symbol;Acc:MGI:1913758]	32649.5054347826
ENSMUSG00000030844	1711	Rgs10	regulator of G-protein signalling 10 [Source:MGI Symbol;Acc:MGI:1915115]	1834.08514492754
ENSMUSG00000030846	6903	Tial1	Tia1 cytotoxic granule-associated RNA binding protein-like 1 [Source:MGI Symbol;Acc:MGI:107913]	65910.3405797101
ENSMUSG00000030847	2562	Bag3	BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493]	1520648.34057971
ENSMUSG00000030849	10328	Fgfr2	fibroblast growth factor receptor 2 [Source:MGI Symbol;Acc:MGI:95523]	6324051.01449275
ENSMUSG00000030850	5579	Ate1	arginyltransferase 1 [Source:MGI Symbol;Acc:MGI:1333870]	51091.1231884058
ENSMUSG00000030852	15408	Tacc2	transforming, acidic coiled-coil containing protein 2 [Source:MGI Symbol;Acc:MGI:1928899]	17744677.884058
ENSMUSG00000030854	5794	Ptpn5	protein tyrosine phosphatase, non-receptor type 5 [Source:MGI Symbol;Acc:MGI:97807]	82.1449275362319
ENSMUSG00000030861	7179	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain [Source:MGI Symbol;Acc:MGI:1914135]	291846.166666667
ENSMUSG00000030862	4622	Cpxm2	carboxypeptidase X 2 (M14 family) [Source:MGI Symbol;Acc:MGI:1926006]	1454.76630434783
ENSMUSG00000030867	2199	Plk1	polo like kinase 1 [Source:MGI Symbol;Acc:MGI:97621]	19612.2536231884
ENSMUSG00000030868	2649	Dctn5	dynactin 5 [Source:MGI Symbol;Acc:MGI:1891689]	13586.5797101449
ENSMUSG00000030869	6883	Ndufab1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:MGI Symbol;Acc:MGI:1917566]	79032.9836956522
ENSMUSG00000030870	9629	Ubfd1	ubiquitin family domain containing 1 [Source:MGI Symbol;Acc:MGI:107301]	53649.4619565217
ENSMUSG00000030871	5152	Ears2	glutamyl-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1914667]	4623.46195652174
ENSMUSG00000030872	9769	Gga2	golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:MGI Symbol;Acc:MGI:1921355]	47631.652173913
ENSMUSG00000030876	4357	Mettl9	methyltransferase like 9 [Source:MGI Symbol;Acc:MGI:1914862]	105240.548913043
ENSMUSG00000030878	5684	Cdr2	cerebellar degeneration-related 2 [Source:MGI Symbol;Acc:MGI:1100885]	56996.8913043478
ENSMUSG00000030879	7605	Mrpl17	mitochondrial ribosomal protein L17 [Source:MGI Symbol;Acc:MGI:1351608]	25651.0362318841
ENSMUSG00000030880	5024	Polr3e	polymerase (RNA) III (DNA directed) polypeptide E [Source:MGI Symbol;Acc:MGI:1349452]	23595.3894927536
ENSMUSG00000030881	4902	Arfip2	ADP-ribosylation factor interacting protein 2 [Source:MGI Symbol;Acc:MGI:1924182]	40709.5362318841
ENSMUSG00000030882	15081	Dnhd1	dynein heavy chain domain 1 [Source:MGI Symbol;Acc:MGI:1924755]	5025.90579710145
ENSMUSG00000030884	2552	Uqcrc2	ubiquinol cytochrome c reductase core protein 2 [Source:MGI Symbol;Acc:MGI:1914253]	141858.592391304
ENSMUSG00000030888	3558	Rrp8	ribosomal RNA processing 8, methyltransferase, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1914251]	16802.5434782609
ENSMUSG00000030890	2744	Ilk	integrin linked kinase [Source:MGI Symbol;Acc:MGI:1195267]	398389.623188406
ENSMUSG00000030894	5164	Tpp1	tripeptidyl peptidase I [Source:MGI Symbol;Acc:MGI:1336194]	567635.557971015
ENSMUSG00000030895	1499	Hpx	hemopexin [Source:MGI Symbol;Acc:MGI:105112]	29.9836956521739
ENSMUSG00000030898	2862	Cckbr	cholecystokinin B receptor [Source:MGI Symbol;Acc:MGI:99479]	1350.24456521739
ENSMUSG00000030905	3391	Crym	crystallin, mu [Source:MGI Symbol;Acc:MGI:102675]	17542.0851449275
ENSMUSG00000030917	1962	Tmem159	transmembrane protein 159 [Source:MGI Symbol;Acc:MGI:1925752]	1042.08514492754
ENSMUSG00000030921	4111	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	18513.731884058
ENSMUSG00000030922	7134	Lyrm1	LYR motif containing 1 [Source:MGI Symbol;Acc:MGI:1921169]	525.563405797101
ENSMUSG00000030924	4782	Rexo5	RNA exonuclease 5 [Source:MGI Symbol;Acc:MGI:1919402]	448.079710144928
ENSMUSG00000030929	7170	Eri2	exoribonuclease 2 [Source:MGI Symbol;Acc:MGI:1918401]	4682.45652173913
ENSMUSG00000030930	6754	Chst15	carbohydrate sulfotransferase 15 [Source:MGI Symbol;Acc:MGI:1924840]	9026.47644927536
ENSMUSG00000030934	2360	Oat	ornithine aminotransferase [Source:MGI Symbol;Acc:MGI:97394]	1048453.12862319
ENSMUSG00000030942	3004	Thumpd1	THUMP domain containing 1 [Source:MGI Symbol;Acc:MGI:2444479]	100723.606884058
ENSMUSG00000030946	2416	Lhpp	phospholysine phosphohistidine inorganic pyrophosphate phosphatase [Source:MGI Symbol;Acc:MGI:1923679]	1497.73188405797
ENSMUSG00000030954	1998	Gp2	glycoprotein 2 (zymogen granule membrane) [Source:MGI Symbol;Acc:MGI:1914383]	650.144927536232
ENSMUSG00000030956	6911	Fam53b	family with sequence similarity 53, member B [Source:MGI Symbol;Acc:MGI:1925188]	25224.2536231884
ENSMUSG00000030960	1764	Eef1akmt2	EEF1A lysine methyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919346]	8342.38949275362
ENSMUSG00000030965	8421	Abraxas2	BRISC complex subunit [Source:MGI Symbol;Acc:MGI:1926116]	6671.73188405797
ENSMUSG00000030966	3714	Trim21	tripartite motif-containing 21 [Source:MGI Symbol;Acc:MGI:106657]	4131.03623188406
ENSMUSG00000030967	5472	Zranb1	zinc finger, RAN-binding domain containing 1 [Source:MGI Symbol;Acc:MGI:106441]	194754.630434783
ENSMUSG00000030970	6220	Ctbp2	C-terminal binding protein 2 [Source:MGI Symbol;Acc:MGI:1201686]	225696.079710145
ENSMUSG00000030978	11012	Rrm1	ribonucleotide reductase M1 [Source:MGI Symbol;Acc:MGI:98180]	259227.905797101
ENSMUSG00000030979	3576	Uros	uroporphyrinogen III synthase [Source:MGI Symbol;Acc:MGI:98917]	2849.47644927536
ENSMUSG00000030980	5880	Knop1	lysine rich nucleolar protein 1 [Source:MGI Symbol;Acc:MGI:1913606]	134181.188405797
ENSMUSG00000030982	14648	Vps35l	VPS35 endosomal protein sorting factor like [Source:MGI Symbol;Acc:MGI:1918767]	50722.5489130435
ENSMUSG00000030983	2038	Bccip	BRCA2 and CDKN1A interacting protein [Source:MGI Symbol;Acc:MGI:1913415]	123164.418478261
ENSMUSG00000030986	4172	Dhx32	DEAH (Asp-Glu-Ala-His) box polypeptide 32 [Source:MGI Symbol;Acc:MGI:2141813]	307254.601449275
ENSMUSG00000030987	10371	Stim1	stromal interaction molecule 1 [Source:MGI Symbol;Acc:MGI:107476]	179332.601449275
ENSMUSG00000030990	4529	Pgap2	post-GPI attachment to proteins 2 [Source:MGI Symbol;Acc:MGI:2385286]	2024.16666666667
ENSMUSG00000031004	10061	Mki67	antigen identified by monoclonal antibody Ki 67 [Source:MGI Symbol;Acc:MGI:106035]	3337906.30253623
ENSMUSG00000031007	2618	Atp6ap2	ATPase, H+ transporting, lysosomal accessory protein 2 [Source:MGI Symbol;Acc:MGI:1917745]	72109.1286231884
ENSMUSG00000031010	15051	Usp9x	ubiquitin specific peptidase 9, X chromosome [Source:MGI Symbol;Acc:MGI:894681]	3072485.56521739
ENSMUSG00000031012	9145	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family) [Source:MGI Symbol;Acc:MGI:1309489]	191572.601449275
ENSMUSG00000031015	8090	Swap70	SWA-70 protein [Source:MGI Symbol;Acc:MGI:1298390]	95229.1721014493
ENSMUSG00000031016	3419	Wee1	WEE 1 homolog 1 (S. pombe) [Source:MGI Symbol;Acc:MGI:103075]	20561.8242753623
ENSMUSG00000031021	2002	Tmem9b	TMEM9 domain family, member B [Source:MGI Symbol;Acc:MGI:1915254]	22152.722826087
ENSMUSG00000031023	1305	Akip1	A kinase (PRKA) interacting protein 1 [Source:MGI Symbol;Acc:MGI:3041226]	6860.04166666667
ENSMUSG00000031024	5738	St5	suppression of tumorigenicity 5 [Source:MGI Symbol;Acc:MGI:108517]	517784.057971014
ENSMUSG00000031026	10125	Trim66	tripartite motif-containing 66 [Source:MGI Symbol;Acc:MGI:2152406]	222.95652173913
ENSMUSG00000031027	2654	Stk33	serine/threonine kinase 33 [Source:MGI Symbol;Acc:MGI:2152419]	158.650362318841
ENSMUSG00000031028	8391	Tub	tubby bipartite transcription factor [Source:MGI Symbol;Acc:MGI:2651573]	173126.592391304
ENSMUSG00000031029	2891	Eif3f	eukaryotic translation initiation factor 3, subunit F [Source:MGI Symbol;Acc:MGI:1913335]	166850.085144928
ENSMUSG00000031059	908	Ndufb11	NADH:ubiquinone oxidoreductase subunit B11 [Source:MGI Symbol;Acc:MGI:1349919]	75738.0851449275
ENSMUSG00000031060	3714	Rbm10	RNA binding motif protein 10 [Source:MGI Symbol;Acc:MGI:2384310]	105399.710144928
ENSMUSG00000031065	4378	Cdk16	cyclin-dependent kinase 16 [Source:MGI Symbol;Acc:MGI:97516]	254390.172101449
ENSMUSG00000031066	4732	Usp11	ubiquitin specific peptidase 11 [Source:MGI Symbol;Acc:MGI:2384312]	96340.2880434783
ENSMUSG00000031068	5016	Glrx3	glutaredoxin 3 [Source:MGI Symbol;Acc:MGI:1353653]	241801.722826087
ENSMUSG00000031070	2214	Mrgprf	MAS-related GPR, member F [Source:MGI Symbol;Acc:MGI:2384823]	4088.60688405797
ENSMUSG00000031072	7061	LTO1	ABCE maturation factor [Source:MGI Symbol;Acc:MGI:1919534]	4952.40579710145
ENSMUSG00000031073	3058	Fgf15	fibroblast growth factor 15 [Source:MGI Symbol;Acc:MGI:1096383]	103.797101449275
ENSMUSG00000031075	6322	Ano1	anoctamin 1, calcium activated chloride channel [Source:MGI Symbol;Acc:MGI:2142149]	30628.8043478261
ENSMUSG00000031077	3903	Fadd	Fas (TNFRSF6)-associated via death domain [Source:MGI Symbol;Acc:MGI:109324]	8339.73188405797
ENSMUSG00000031078	4192	Cttn	cortactin [Source:MGI Symbol;Acc:MGI:99695]	3891618.10869565
ENSMUSG00000031079	5338	Zfp300	zinc finger protein 300 [Source:MGI Symbol;Acc:MGI:3045326]	372.775362318841
ENSMUSG00000031089	3434	Slc6a14	solute carrier family 6 (neurotransmitter transporter), member 14 [Source:MGI Symbol;Acc:MGI:1890216]	498.302536231884
ENSMUSG00000031090	3306	Nadsyn1	NAD synthetase 1 [Source:MGI Symbol;Acc:MGI:1926164]	2314.86775362319
ENSMUSG00000031093	9240	Dock11	dedicator of cytokinesis 11 [Source:MGI Symbol;Acc:MGI:1923224]	3391.65036231884
ENSMUSG00000031095	3873	Cul4b	cullin 4B [Source:MGI Symbol;Acc:MGI:1919834]	53238.6666666667
ENSMUSG00000031097	1497	Tnni2	troponin I, skeletal, fast 2 [Source:MGI Symbol;Acc:MGI:105070]	52.4347826086956
ENSMUSG00000031098	1894	Syt8	synaptotagmin VIII [Source:MGI Symbol;Acc:MGI:1859867]	986.302536231884
ENSMUSG00000031099	6118	Smarca1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1935127]	62466.0851449275
ENSMUSG00000031101	2677	Sash3	SAM and SH3 domain containing 3 [Source:MGI Symbol;Acc:MGI:1921381]	359.201086956522
ENSMUSG00000031103	6148	Elf4	E74-like factor 4 (ets domain transcription factor) [Source:MGI Symbol;Acc:MGI:1928377]	30199.027173913
ENSMUSG00000031105	2364	Slc25a14	solute carrier family 25 (mitochondrial carrier, brain), member 14 [Source:MGI Symbol;Acc:MGI:1330823]	627.326086956522
ENSMUSG00000031107	1872	Rbmx2	RNA binding motif protein, X-linked 2 [Source:MGI Symbol;Acc:MGI:1919414]	6125.47644927536
ENSMUSG00000031109	4356	Enox2	ecto-NOX disulfide-thiol exchanger 2 [Source:MGI Symbol;Acc:MGI:2384799]	4918.19565217391
ENSMUSG00000031111	5768	Igsf1	immunoglobulin superfamily, member 1 [Source:MGI Symbol;Acc:MGI:2147913]	111.505434782609
ENSMUSG00000031112	5271	Stk26	serine/threonine kinase 26 [Source:MGI Symbol;Acc:MGI:1917665]	15077.8677536232
ENSMUSG00000031119	2651	Gpc4	glypican 4 [Source:MGI Symbol;Acc:MGI:104902]	280458.346014493
ENSMUSG00000031129	5679	Slc9a9	solute carrier family 9 (sodium/hydrogen exchanger), member 9 [Source:MGI Symbol;Acc:MGI:2679732]	2064.28804347826
ENSMUSG00000031133	8552	Arhgef6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6 [Source:MGI Symbol;Acc:MGI:1920591]	2401.84782608696
ENSMUSG00000031134	4330	Rbmx	RNA binding motif protein, X chromosome [Source:MGI Symbol;Acc:MGI:1343044]	61318.3025362319
ENSMUSG00000031137	4019	Fgf13	fibroblast growth factor 13 [Source:MGI Symbol;Acc:MGI:109178]	1956.63043478261
ENSMUSG00000031142	9089	Cacna1f	calcium channel, voltage-dependent, alpha 1F subunit [Source:MGI Symbol;Acc:MGI:1859639]	94434.3315217391
ENSMUSG00000031143	3427	Ccdc22	coiled-coil domain containing 22 [Source:MGI Symbol;Acc:MGI:1859608]	108.346014492754
ENSMUSG00000031144	5211	Syp	synaptophysin [Source:MGI Symbol;Acc:MGI:98467]	323367.070652174
